date,Asset A,Asset B,Market
24/11/2021,1.33227466,0.635445537,0.597308893
25/11/2021,1.69078755,0.162204536,-0.15538369
26/11/2021,0.365670274,-1.0704016,-1.075256024
29/11/2021,2.446379045,2.302788894,1.062292147
30/11/2021,1.742907993,2.064811717,-0.184303422
01/12/2021,0.372588782,-0.208869938,0.630372169
02/12/2021,1.871889667,-0.142195196,-0.169516665
03/12/2021,0.423882304,0.349116536,-1.082432974
06/12/2021,-0.305944072,-0.407390013,0.090709066
07/12/2021,-0.330426984,0.824757354,1.210946462
08/12/2021,2.116935629,1.852830956,1.139973232
09/12/2021,-2.278892728,-0.954168281,-0.214305828
10/12/2021,-1.629184304,0.369678613,1.089296431
13/12/2021,1.858719826,3.069084133,2.107243248
14/12/2021,-0.829735423,0.592384436,2.437596542
15/12/2021,0.727173832,0.914957806,0.767709375
16/12/2021,19.52079829,9.0245405,2.031986382
17/12/2021,-1.460065625,-1.724460365,-1.112559528
20/12/2021,1.437614483,0.44239714,1.890866603
21/12/2021,3.128316098,2.809471328,6.200047959
22/12/2021,-1.359096742,-0.546005302,-1.090072046
23/12/2021,-7.111994222,-4.287228645,-5.900950359
24/12/2021,0,0,-2.540257425
27/12/2021,-1.975651884,-4.00177632,-0.391400586
28/12/2021,0.047944522,0.346807555,-0.033394009
29/12/2021,-0.683947904,-1.510191091,-1.12428378
30/12/2021,-0.46978777,-0.654904425,-1.047106474
31/12/2021,0,0,-1.883071401
03/01/2022,-0.678114144,-1.891000638,1.093249139
04/01/2022,0.415043173,0.890358412,0.898193248
05/01/2022,-1.426155001,-0.59020773,0.301198724
06/01/2022,0.916854215,0.123839417,0.543635378
07/01/2022,-0.843072323,-0.425048157,-0.914794526
10/01/2022,-1.017215849,-0.786365008,-0.392224062
11/01/2022,-0.945830668,-0.796164152,-0.650230985
12/01/2022,-0.189309611,-0.639165779,-0.398786275
13/01/2022,-0.189720852,-0.249982871,1.155526463
14/01/2022,0.997856391,0.968797747,0.16877831
17/01/2022,-0.849131107,-1.157860393,-1.122363256
18/01/2022,-0.241863508,0.000441923,0.148664008
19/01/2022,-0.107623977,-0.3173418,-0.309796807
20/01/2022,-0.191288697,-0.11456748,-0.045597837
21/01/2022,0.12702187,0.438178573,0.435337316
24/01/2022,0.403563648,0.996396532,1.627009829
25/01/2022,0.047792053,0.352176991,0.066620188
26/01/2022,-0.214346148,-0.555715544,-0.201454097
27/01/2022,0.038581357,-0.027243897,0.054002878
28/01/2022,0.033963717,-0.139713609,-0.02805393
31/01/2022,-0.453504534,-1.080220486,-0.838976029
01/02/2022,-0.650697994,-1.053888005,-1.009151389
02/02/2022,-0.094866596,0.547039352,0.140464756
03/02/2022,-0.152152798,-0.186906862,0.343563853
04/02/2022,0.117932209,0.306520399,0.292739318
07/02/2022,-0.156727396,-0.573403959,-0.371290696
08/02/2022,-0.136483193,-0.1703157,-0.280789396
09/02/2022,-0.22329905,-0.216032149,-0.355509389
10/02/2022,-0.153113244,-0.166813581,-0.007951216
11/02/2022,-0.029345331,-0.052941244,0.385034695
14/02/2022,0.255074099,0.395696497,0.422107938
15/02/2022,-0.306676826,-0.665985572,-1.25183663
16/02/2022,-0.123806632,-0.175250488,-0.142167639
17/02/2022,0.16407207,0.230206619,0.652898053
18/02/2022,-0.031523107,-0.193986263,-0.147605971
21/02/2022,-0.025921162,0.209587595,-0.154781012
22/02/2022,0.332181425,0.987210988,0.941243372
23/02/2022,0.453454403,1.244975665,1.186624986
24/02/2022,2.500114795,5.098952614,5.902146236
25/02/2022,-2.00715628,-3.703335657,-4.151960297
28/02/2022,0.097786786,0.311926505,0.500687954
01/03/2022,0.613454402,0.913847886,2.134835764
02/03/2022,1.950121794,2.919508653,3.947045047
03/03/2022,0.384004512,0.679812293,-0.382323364
04/03/2022,2.554034112,2.939997397,2.5863254
07/03/2022,0.920567112,2.137908851,2.711407048
08/03/2022,-0.818440569,-0.840695415,-0.946678756
09/03/2022,-2.417657742,-4.203186135,-4.382841263
10/03/2022,-0.879557474,-1.146861655,-1.913378349
11/03/2022,-0.123418578,-0.497547018,0.3061452
14/03/2022,-0.786164232,-1.105036272,-1.06725705
15/03/2022,0.050913583,0.246496161,0.058472119
16/03/2022,-0.47873924,-0.852757448,-0.824101785
17/03/2022,-0.011486261,0.014195971,0.158887137
18/03/2022,-0.18154362,-0.230917971,-0.002859529
21/03/2022,-0.468956557,-0.569718419,-0.572930686
22/03/2022,0.045908176,0.097515495,0.161129347
23/03/2022,0.809535661,1.194203469,1.212858336
24/03/2022,-0.129814438,-0.339719298,-0.357003615
25/03/2022,-0.372878693,-0.411241534,-0.689343707
28/03/2022,0.473648664,0.167533153,0.085434537
29/03/2022,0.407654287,0.402295257,0.394021691
30/03/2022,0.251186891,0.213472064,0.720049112
31/03/2022,-0.258351171,-0.324409497,0.414851196
01/04/2022,-0.144776557,-0.262889887,-0.946089217
04/04/2022,-0.531641925,-0.843353175,-0.180748976
05/04/2022,-0.135989853,-0.059638857,-0.066516893
06/04/2022,0.02150954,0.036151801,-0.124004579
07/04/2022,-0.156265099,-0.206802047,-0.157043359
08/04/2022,0.116555827,0.150098584,-0.048486314
11/04/2022,-0.301920913,-0.42936442,-0.268479942
12/04/2022,-0.00883814,0.012205115,0.150418448
13/04/2022,0.06467807,0.08158055,0.226171318
14/04/2022,-0.235955439,-0.303850242,-0.712497334
15/04/2022,0,0,0
18/04/2022,0,0,0
19/04/2022,-0.30924332,-0.199108415,-0.138832429
20/04/2022,0.1127278,0.077291993,0.034994174
21/04/2022,0.112311806,0.087533861,0.444332558
22/04/2022,-0.093549647,-0.162360848,-0.397897012
25/04/2022,-0.047030544,-0.100625222,-0.157467425
26/04/2022,-0.38022366,-0.375200291,0.80788714
27/04/2022,0.516177324,0.865866345,0.329589415
28/04/2022,-0.343012768,-0.391509449,-0.573380668
29/04/2022,-0.122300477,0.043477819,-0.031102324
02/05/2022,-0.338637468,-0.502797893,-0.19144881
03/05/2022,0.142183782,0.135120505,0.191062766
04/05/2022,0.296403079,0.374392152,0.356420213
05/05/2022,0.142360708,0.179170302,0.219503088
06/05/2022,-0.200855969,-0.379177834,-0.395253586
09/05/2022,-0.269997101,-0.450810956,-0.656809343
10/05/2022,-0.18872813,-0.263052496,0.417721189
11/05/2022,0.19624412,0.280272128,-0.401716096
12/05/2022,0.586135991,0.822783598,1.071858308
13/05/2022,-0.192121349,-0.488739999,-0.828470278
